des(0,85,51)
(0,"t0",1)
(1,"t0",2)
(1,"t1",3)
(1,"t2",4)
(2,"t1",5)
(2,"t2",6)
(3,"t0",5)
(3,"t4",7)
(3,"t3",7)
(4,"t0",6)
(4,"t3",8)
(5,"t2",9)
(5,"t4",10)
(5,"t3",10)
(6,"t1",9)
(6,"t3",11)
(7,"t0",10)
(7,"t5",12)
(8,"t0",11)
(8,"t5",13)
(9,"t3",14)
(10,"t2",14)
(10,"t5",15)
(11,"t1",14)
(11,"t5",16)
(12,"t0",15)
(12,"t6",17)
(13,"t0",16)
(13,"t6",18)
(14,"t3",19)
(14,"t5",20)
(15,"t2",20)
(15,"t6",21)
(16,"t1",20)
(16,"t6",22)
(17,"t0",21)
(18,"t0",22)
(19,"t5",23)
(20,"t3",23)
(20,"t6",24)
(21,"t2",24)
(21,"t0",25)
(22,"t1",24)
(22,"t0",26)
(23,"t5",27)
(23,"t6",28)
(24,"t3",28)
(24,"t0",29)
(25,"t2",29)
(26,"t1",29)
(27,"t6",30)
(28,"t5",30)
(28,"t0",31)
(29,"t3",31)
(29,"t1",32)
(30,"t0",33)
(30,"t6",34)
(31,"t5",33)
(31,"t1",35)
(32,"t3",35)
(33,"t1",36)
(33,"t6",37)
(34,"t0",37)
(35,"t5",36)
(35,"t3",38)
(36,"t3",39)
(36,"t6",40)
(37,"t1",40)
(37,"t0",41)
(38,"t5",39)
(39,"t5",42)
(39,"t6",43)
(40,"t3",43)
(40,"t0",44)
(41,"t1",44)
(42,"t6",45)
(43,"t5",45)
(43,"t0",46)
(44,"t3",46)
(45,"t0",47)
(45,"t6",48)
(46,"t5",47)
(47,"t6",49)
(48,"t0",49)
(49,"t0",50)
