des(0,7058,1982)
(0,"AOPEN",1)
(0,"POPEN",2)
(0,"xAOPEN",3)
(0,"xPOPEN",4)
(1,"AOPEN",5)
(1,"POPEN",6)
(1,"xAOPEN",7)
(1,"xPOPEN",8)
(2,"SEND",1)
(2,"AOPEN",6)
(2,"POPEN",9)
(2,"xAOPEN",10)
(2,"xPOPEN",11)
(3,"AOPEN",7)
(3,"POPEN",10)
(3,"xAOPEN",12)
(3,"xPOPEN",13)
(4,"AOPEN",8)
(4,"POPEN",11)
(4,"xAOPEN",13)
(4,"xPOPEN",14)
(4,"xSEND",15)
(5,"xAOPEN",16)
(5,"xPOPEN",17)
(6,"SEND",5)
(6,"xAOPEN",18)
(6,"xPOPEN",19)
(7,"AOPEN",16)
(7,"POPEN",18)
(7,"rs1",20)
(7,"xAOPEN",21)
(7,"xPOPEN",22)
(7,"xrs1",23)
(8,"AOPEN",17)
(8,"POPEN",19)
(8,"xAOPEN",22)
(8,"xrs",23)
(8,"xPOPEN",24)
(8,"xSEND",25)
(9,"SEND",6)
(9,"xAOPEN",26)
(9,"xPOPEN",27)
(10,"SEND",7)
(10,"AOPEN",18)
(10,"rs",20)
(10,"POPEN",26)
(10,"xAOPEN",28)
(10,"xPOPEN",29)
(11,"SEND",8)
(11,"AOPEN",19)
(11,"POPEN",27)
(11,"xAOPEN",29)
(11,"xPOPEN",30)
(11,"xSEND",31)
(12,"AOPEN",21)
(12,"POPEN",28)
(13,"AOPEN",22)
(13,"POPEN",29)
(13,"xSEND",32)
(14,"AOPEN",24)
(14,"POPEN",30)
(14,"xSEND",33)
(15,"AOPEN",25)
(15,"POPEN",31)
(15,"xAOPEN",32)
(15,"xPOPEN",33)
(16,"rs1",34)
(16,"xAOPEN",35)
(16,"xPOPEN",36)
(16,"xrs1",37)
(17,"xAOPEN",36)
(17,"xrs",37)
(17,"xPOPEN",38)
(17,"xSEND",39)
(18,"SEND",16)
(18,"rs",34)
(18,"rs1",40)
(18,"xAOPEN",41)
(18,"xPOPEN",42)
(18,"xrs1",43)
(19,"SEND",17)
(19,"xAOPEN",42)
(19,"xrs",43)
(19,"xPOPEN",44)
(19,"xSEND",45)
(20,"AOPEN",34)
(20,"POPEN",40)
(20,"xAOPEN",46)
(20,"xPOPEN",47)
(20,"xrs1",48)
(20,"xrsa",49)
(21,"AOPEN",35)
(21,"POPEN",41)
(21,"rs1",46)
(21,"xrs1",50)
(22,"AOPEN",36)
(22,"POPEN",42)
(22,"rs1",47)
(22,"xrs",50)
(22,"xSEND",51)
(22,"xrs1",52)
(23,"AOPEN",37)
(23,"POPEN",43)
(23,"rs1",48)
(23,"xAOPEN",50)
(23,"xPOPEN",52)
(23,"rsa",53)
(24,"AOPEN",38)
(24,"POPEN",44)
(24,"xrs",52)
(24,"xSEND",54)
(25,"AOPEN",39)
(25,"POPEN",45)
(25,"xAOPEN",51)
(25,"xPOPEN",54)
(25,"rs1",55)
(26,"SEND",18)
(26,"rs",40)
(26,"xAOPEN",56)
(26,"xPOPEN",57)
(27,"SEND",19)
(27,"xAOPEN",57)
(27,"xPOPEN",58)
(27,"xSEND",59)
(28,"SEND",21)
(28,"AOPEN",41)
(28,"rs",46)
(28,"POPEN",56)
(29,"SEND",22)
(29,"AOPEN",42)
(29,"rs",47)
(29,"POPEN",57)
(29,"xSEND",60)
(30,"SEND",24)
(30,"AOPEN",44)
(30,"POPEN",58)
(30,"xSEND",61)
(31,"SEND",25)
(31,"AOPEN",45)
(31,"rs",55)
(31,"POPEN",59)
(31,"xAOPEN",60)
(31,"xPOPEN",61)
(32,"AOPEN",51)
(32,"POPEN",60)
(33,"AOPEN",54)
(33,"POPEN",61)
(33,"xSEND",62)
(34,"xAOPEN",63)
(34,"xPOPEN",64)
(34,"xrs1",65)
(34,"xrsa",66)
(35,"rs1",63)
(35,"xrs1",67)
(36,"rs1",64)
(36,"xrs",67)
(36,"xSEND",68)
(36,"xrs1",69)
(37,"rs1",65)
(37,"xAOPEN",67)
(37,"xPOPEN",69)
(37,"rsa",70)
(38,"xrs",69)
(38,"xSEND",71)
(39,"xAOPEN",68)
(39,"xPOPEN",71)
(39,"rs1",72)
(40,"SEND",34)
(40,"xAOPEN",73)
(40,"xPOPEN",74)
(40,"xrs1",75)
(40,"xrsa",76)
(41,"SEND",35)
(41,"rs",63)
(41,"rs1",73)
(41,"xrs1",77)
(42,"SEND",36)
(42,"rs",64)
(42,"rs1",74)
(42,"xrs",77)
(42,"xSEND",78)
(42,"xrs1",79)
(43,"SEND",37)
(43,"rs",65)
(43,"rs1",75)
(43,"xAOPEN",77)
(43,"xPOPEN",79)
(43,"rsa",80)
(44,"SEND",38)
(44,"xrs",79)
(44,"xSEND",81)
(45,"SEND",39)
(45,"rs",72)
(45,"xAOPEN",78)
(45,"xPOPEN",81)
(45,"rs1",82)
(46,"AOPEN",63)
(46,"POPEN",73)
(46,"xrs1",83)
(46,"xrsa",84)
(47,"AOPEN",64)
(47,"POPEN",74)
(47,"xrs",83)
(47,"xSEND",85)
(47,"xrs1",86)
(47,"xrsa",87)
(48,"xras",49)
(48,"ras",53)
(48,"AOPEN",65)
(48,"POPEN",75)
(48,"xAOPEN",83)
(48,"xPOPEN",86)
(49,"AOPEN",66)
(49,"POPEN",76)
(49,"xAOPEN",84)
(49,"xPOPEN",87)
(49,"ras",88)
(49,"xCLOSE2",89)
(50,"AOPEN",67)
(50,"POPEN",77)
(50,"rs1",83)
(50,"rsa",90)
(51,"AOPEN",68)
(51,"POPEN",78)
(51,"rs1",85)
(51,"xrs1",91)
(52,"AOPEN",69)
(52,"POPEN",79)
(52,"rs1",86)
(52,"xSEND",91)
(52,"rsa",92)
(53,"AOPEN",70)
(53,"POPEN",80)
(53,"xras",88)
(53,"xAOPEN",90)
(53,"xPOPEN",92)
(53,"CLOSE2",93)
(54,"AOPEN",71)
(54,"POPEN",81)
(54,"xrs",91)
(54,"rs1",94)
(54,"xSEND",95)
(55,"AOPEN",72)
(55,"POPEN",82)
(55,"xAOPEN",85)
(55,"xPOPEN",94)
(56,"SEND",41)
(56,"rs",73)
(57,"SEND",42)
(57,"rs",74)
(57,"xSEND",96)
(58,"SEND",44)
(58,"xSEND",97)
(59,"SEND",45)
(59,"rs",82)
(59,"xAOPEN",96)
(59,"xPOPEN",97)
(60,"SEND",51)
(60,"AOPEN",78)
(60,"rs",85)
(60,"POPEN",96)
(61,"SEND",54)
(61,"AOPEN",81)
(61,"rs",94)
(61,"POPEN",97)
(61,"xSEND",98)
(62,"AOPEN",95)
(62,"POPEN",98)
(63,"rs1",99)
(63,"xrs1",100)
(63,"xrsa",101)
(64,"xrs",100)
(64,"xSEND",102)
(64,"xrs1",103)
(64,"xrsa",104)
(65,"xras",66)
(65,"ras",70)
(65,"xAOPEN",100)
(65,"xPOPEN",103)
(66,"xAOPEN",101)
(66,"xPOPEN",104)
(66,"ras",105)
(66,"xCLOSE2",106)
(67,"rs1",100)
(67,"rsa",107)
(67,"xrs1",108)
(68,"rs1",102)
(68,"xrs1",109)
(69,"rs1",103)
(69,"xrs",108)
(69,"xSEND",109)
(69,"rsa",110)
(70,"xras",105)
(70,"xAOPEN",107)
(70,"xPOPEN",110)
(70,"CLOSE2",111)
(71,"xrs",109)
(71,"rs1",112)
(71,"xSEND",113)
(72,"xAOPEN",102)
(72,"xPOPEN",112)
(73,"SEND",63)
(73,"rs",99)
(73,"xrs1",114)
(73,"xrsa",115)
(74,"SEND",64)
(74,"xrs",114)
(74,"xSEND",116)
(74,"xrs1",117)
(74,"xrsa",118)
(75,"SEND",65)
(75,"xras",76)
(75,"ras",80)
(75,"xAOPEN",114)
(75,"xPOPEN",117)
