des(0,307,132)
(0,"p_start",1)
(1,"p_start",2)
(1,"r_starts",3)
(2,"p_start",4)
(2,"r_starts",5)
(3,"p_start",5)
(3,"p_started",6)
(4,"r_starts",7)
(5,"p_start",7)
(5,"p_started",8)
(5,"r_starts",9)
(6,"p_start",8)
(6,"p_intoSC",10)
(6,"p_sop",11)
(7,"p_started",12)
(7,"r_starts",13)
(8,"p_start",12)
(8,"p_intoSC",14)
(8,"p_sop",15)
(8,"r_starts",16)
(9,"p_start",13)
(9,"p_started",16)
(10,"p_start",14)
(10,"p_move",17)
(11,"r_stops",0)
(11,"p_start",15)
(12,"p_intoSC",18)
(12,"p_sop",19)
(12,"r_starts",20)
(13,"p_started",20)
(14,"p_start",18)
(14,"p_move",21)
(14,"r_starts",22)
(15,"r_stops",1)
(15,"p_start",19)
(15,"r_starts",23)
(16,"p_start",20)
(16,"p_intoSC",22)
(16,"p_sop",23)
(16,"p_started",24)
(17,"p_start",21)
(17,"r_begin_move",25)
(18,"p_move",26)
(18,"r_starts",27)
(19,"r_stops",2)
(19,"p_start",28)
(19,"r_starts",29)
(20,"p_intoSC",27)
(20,"p_sop",29)
(20,"p_started",30)
(21,"p_start",26)
(21,"r_begin_move",31)
(21,"r_starts",32)
(22,"p_start",27)
(22,"p_move",32)
(22,"p_started",33)
(23,"r_stops",3)
(23,"p_start",29)
(23,"p_started",34)
(24,"p_start",30)
(24,"p_intoSC",33)
(24,"p_sop",34)
(25,"p_start",31)
(25,"r_end_move",35)
(26,"r_begin_move",36)
(26,"r_starts",37)
(27,"p_move",37)
(27,"p_started",38)
(28,"r_stops",4)
(28,"r_starts",39)
(29,"r_stops",5)
(29,"p_start",39)
(29,"p_started",40)
(30,"p_intoSC",38)
(30,"p_sop",40)
(31,"p_start",36)
(31,"r_end_move",41)
(31,"r_starts",42)
(32,"p_start",37)
(32,"r_begin_move",42)
(32,"p_started",43)
(33,"p_start",38)
(33,"p_move",43)
(33,"p_intoSC",44)
(33,"p_sop",45)
(34,"r_stops",6)
(34,"p_start",40)
(34,"p_intoSC",45)
(34,"p_sop",46)
(35,"p_start",41)
(35,"p_moved",47)
(36,"r_end_move",48)
(36,"r_starts",49)
(37,"r_begin_move",49)
(37,"p_started",50)
(38,"p_move",50)
(38,"p_intoSC",51)
(38,"p_sop",52)
(39,"r_stops",7)
(39,"p_started",53)
(40,"r_stops",8)
(40,"p_intoSC",52)
(40,"p_start",53)
(40,"p_sop",54)
(41,"p_start",48)
(41,"p_moved",55)
(41,"r_starts",56)
(42,"p_start",49)
(42,"r_end_move",56)
(42,"p_started",57)
(43,"p_start",50)
(43,"r_begin_move",57)
(43,"p_intoSC",58)
(43,"p_sop",59)
(44,"p_start",51)
(44,"p_move",58)
(45,"r_stops",10)
(45,"p_start",52)
(45,"p_move",59)
(46,"r_stops",11)
(46,"p_start",54)
(47,"p_start",55)
(47,"p_relSC",60)
(48,"p_moved",61)
(48,"r_starts",62)
(49,"r_end_move",62)
(49,"p_started",63)
(50,"r_begin_move",63)
(50,"p_intoSC",64)
(50,"p_sop",65)
(51,"p_move",64)
(52,"r_stops",14)
(52,"p_move",65)
(52,"p_start",66)
(53,"r_stops",12)
(53,"p_intoSC",66)
(53,"p_sop",67)
(54,"r_stops",15)
(54,"p_start",67)
(55,"p_start",61)
(55,"p_relSC",68)
(55,"r_starts",69)
(56,"p_start",62)
(56,"p_moved",69)
(56,"p_started",70)
(57,"p_start",63)
(57,"r_end_move",70)
(57,"p_intoSC",71)
(57,"p_sop",72)
(58,"p_start",64)
(58,"r_begin_move",71)
(58,"p_move",73)
(59,"r_stops",17)
(59,"p_start",65)
(59,"r_begin_move",72)
(60,"p_start",68)
(61,"p_relSC",74)
(61,"r_starts",75)
(62,"p_moved",75)
(62,"p_started",76)
(63,"r_end_move",76)
(63,"p_intoSC",77)
(63,"p_sop",78)
(64,"r_begin_move",77)
(64,"p_move",79)
(65,"r_stops",21)
(65,"r_begin_move",78)
(65,"p_start",80)
(66,"r_stops",18)
(66,"p_move",80)
(67,"r_stops",19)
(67,"p_start",81)
(68,"p_start",74)
(68,"r_starts",82)
(69,"p_start",75)
(69,"p_relSC",82)
(69,"p_started",83)
(70,"p_start",76)
(70,"p_moved",83)
(70,"p_intoSC",84)
(70,"p_sop",85)
(71,"p_start",77)
(71,"r_end_move",84)
(71,"p_move",86)
(72,"r_stops",25)
(72,"p_start",78)
(72,"r_end_move",85)
(73,"p_start",79)
(73,"r_begin_move",86)
(74,"r_starts",87)
(75,"p_relSC",87)
(75,"p_started",88)
(76,"p_moved",88)
(76,"p_intoSC",89)
(76,"p_sop",90)
(77,"r_end_move",89)
(77,"p_move",91)
(78,"r_stops",31)
(78,"r_end_move",90)
(78,"p_start",92)
(79,"r_begin_move",91)
(80,"r_stops",26)
(80,"r_begin_move",92)
(81,"r_stops",28)
(82,"p_start",87)
(82,"p_started",93)
(83,"p_start",88)
(83,"p_relSC",93)
(83,"p_intoSC",94)
(83,"p_sop",95)
(84,"p_start",89)
(84,"p_moved",94)
(84,"p_move",96)
(85,"r_stops",35)
(85,"p_start",90)
(85,"p_moved",95)
(86,"p_start",91)
(86,"r_end_move",96)
(86,"r_begin_move",97)
(87,"p_started",98)
(88,"p_relSC",98)
(88,"p_intoSC",99)
(88,"p_sop",100)
(89,"p_moved",99)
(89,"p_move",101)
(90,"r_stops",41)
(90,"p_moved",100)
(90,"p_start",102)
(91,"r_end_move",101)
(91,"r_begin_move",103)
(92,"r_stops",36)
(92,"r_end_move",102)
(93,"p_start",98)
(93,"p_intoSC",104)
(93,"p_sop",105)
(94,"p_start",99)
(94,"p_relSC",104)
(94,"p_move",106)
(95,"r_stops",47)
(95,"p_start",100)
(95,"p_relSC",105)
(96,"p_start",101)
(96,"p_moved",106)
(96,"r_begin_move",107)
(97,"p_start",103)
(97,"r_end_move",107)
(98,"p_intoSC",108)
(98,"p_sop",109)
(99,"p_relSC",108)
(99,"p_move",110)
(100,"r_stops",55)
(100,"p_relSC",109)
(100,"p_start",111)
(101,"p_moved",110)
(101,"r_begin_move",112)
(102,"r_stops",48)
(102,"p_moved",111)
(103,"r_end_move",112)
(104,"p_start",108)
(104,"p_move",113)
(105,"r_stops",60)
(105,"p_start",109)
(106,"p_start",110)
(106,"p_relSC",113)
(106,"r_begin_move",114)
(107,"p_start",112)
(107,"p_moved",114)
(107,"r_end_move",115)
(108,"p_move",116)
(109,"r_stops",68)
(109,"p_start",117)
(110,"p_relSC",116)
(110,"r_begin_move",118)
(111,"r_stops",61)
(111,"p_relSC",117)
(112,"p_moved",118)
(112,"r_end_move",119)
(113,"p_start",116)
(113,"r_begin_move",120)
(114,"p_start",118)
(114,"p_relSC",120)
(114,"r_end_move",121)
(115,"p_start",119)
(115,"p_moved",121)
(116,"r_begin_move",122)
(117,"r_stops",74)
(118,"p_relSC",122)
(118,"r_end_move",123)
(119,"p_moved",123)
(120,"p_start",122)
(120,"r_end_move",124)
(121,"p_start",123)
(121,"p_relSC",124)
(121,"p_moved",125)
(122,"r_end_move",126)
(123,"p_relSC",126)
(123,"p_moved",127)
(124,"p_start",126)
(124,"p_moved",128)
(125,"p_start",127)
(125,"p_relSC",128)
(126,"p_moved",129)
(127,"p_relSC",129)
(128,"p_start",129)
(128,"p_relSC",130)
(129,"p_relSC",131)
(130,"p_start",131)
