des(0,231,107)
(0,"P0_0",1)
(0,"P1_0",2)
(0,"P2_0",3)
(0,"P3_0",4)
(1,"P0_TAIL",0)
(1,"P1_0",5)
(1,"P2_0",6)
(1,"P3_0",7)
(2,"P0_0",5)
(2,"P1_1",8)
(3,"P0_0",6)
(3,"P2_1",9)
(4,"P0_0",7)
(4,"P3_1",10)
(5,"P0_TAIL",2)
(5,"P1_1",11)
(6,"P0_TAIL",3)
(6,"P2_1",12)
(7,"P0_TAIL",4)
(7,"P3_1",13)
(8,"P0_0",11)
(8,"P1_2",14)
(8,"P2_0",15)
(8,"P3_0",16)
(9,"P0_0",12)
(9,"P1_0",17)
(9,"P2_2",18)
(9,"P3_0",19)
(10,"P0_0",13)
(10,"P1_0",20)
(10,"P2_0",21)
(10,"P3_2",22)
(11,"P0_TAIL",8)
(11,"P2_0",23)
(11,"P3_0",24)
(12,"P0_TAIL",9)
(12,"P1_0",25)
(12,"P3_0",26)
(13,"P0_TAIL",10)
(13,"P1_0",27)
(13,"P2_0",28)
(14,"P1_3",29)
(14,"P2_0",30)
(14,"P3_0",31)
(15,"P0_0",23)
(15,"P1_2",30)
(16,"P0_0",24)
(16,"P1_2",31)
(17,"P0_0",25)
(17,"P2_2",32)
(18,"P1_0",32)
(18,"P2_3",33)
(18,"P3_0",34)
(19,"P0_0",26)
(19,"P2_2",34)
(20,"P0_0",27)
(20,"P3_2",35)
(21,"P0_0",28)
(21,"P3_2",36)
(22,"P1_0",35)
(22,"P2_0",36)
(22,"P3_3",37)
(23,"P0_TAIL",15)
(24,"P0_TAIL",16)
(25,"P0_TAIL",17)
(26,"P0_TAIL",19)
(27,"P0_TAIL",20)
(28,"P0_TAIL",21)
(29,"P1_TAIL",38)
(29,"P2_0",39)
(29,"P3_0",40)
(30,"P1_3",39)
(30,"P2_1",41)
(31,"P1_3",40)
(31,"P3_1",42)
(32,"P1_1",43)
(32,"P2_3",44)
(33,"P2_TAIL",0)
(33,"P1_0",44)
(33,"P0_0",45)
(33,"P3_0",46)
(34,"P2_3",46)
(34,"P3_1",47)
(35,"P1_1",48)
(35,"P3_3",49)
(36,"P2_1",50)
(36,"P3_3",51)
(37,"P3_TAIL",0)
(37,"P1_0",49)
(37,"P2_0",51)
(37,"P0_0",52)
(38,"P1_0",53)
(38,"P2_0",54)
(38,"P3_0",55)
(39,"P1_TAIL",54)
(39,"P2_1",56)
(40,"P1_TAIL",55)
(40,"P3_1",57)
(41,"P1_3",56)
(41,"P3_0",58)
(42,"P1_3",57)
(42,"P2_0",59)
(43,"P2_3",60)
(43,"P3_0",61)
(44,"P2_TAIL",2)
(44,"P1_1",60)
(44,"P0_0",62)
(45,"P2_TAIL",1)
(45,"P0_TAIL",33)
(45,"P1_0",62)
(45,"P3_0",63)
(46,"P2_TAIL",4)
(46,"P0_0",63)
(46,"P3_1",64)
(47,"P2_3",64)
(47,"P1_0",65)
(48,"P2_0",66)
(48,"P3_3",67)
(49,"P3_TAIL",2)
(49,"P1_1",67)
(49,"P0_0",68)
(50,"P1_0",69)
(50,"P3_3",70)
(51,"P3_TAIL",3)
(51,"P2_1",70)
(51,"P0_0",71)
