des(0,867,383)
(0,"P0_0",1)
(0,"P1_0",2)
(0,"P2_0",3)
(0,"P3_0",4)
(0,"P4_0",5)
(0,"P5_0",6)
(1,"P0_TAIL",0)
(2,"P1_1",7)
(3,"P2_1",8)
(4,"P3_1",9)
(5,"P4_1",10)
(6,"P5_1",11)
(7,"P0_0",12)
(7,"P1_2",13)
(7,"P2_0",14)
(7,"P3_0",15)
(7,"P4_0",16)
(7,"P5_0",17)
(8,"P2_2",18)
(9,"P0_0",19)
(9,"P1_0",20)
(9,"P2_0",21)
(9,"P3_2",22)
(9,"P4_0",23)
(9,"P5_0",24)
(10,"P0_0",25)
(10,"P1_0",26)
(10,"P2_0",27)
(10,"P3_0",28)
(10,"P4_2",29)
(10,"P5_0",30)
(11,"P0_0",31)
(11,"P1_0",32)
(11,"P2_0",33)
(11,"P3_0",34)
(11,"P4_0",35)
(11,"P5_2",36)
(12,"P0_TAIL",7)
(12,"P1_2",37)
(13,"P0_0",37)
(13,"P1_3",38)
(13,"P2_0",39)
(13,"P3_0",40)
(13,"P4_0",41)
(13,"P5_0",42)
(14,"P1_2",39)
(15,"P1_2",40)
(16,"P1_2",41)
(17,"P1_2",42)
(18,"P2_3",43)
(19,"P0_TAIL",9)
(19,"P3_2",44)
(20,"P3_2",45)
(21,"P3_2",46)
(22,"P0_0",44)
(22,"P1_0",45)
(22,"P2_0",46)
(22,"P3_3",47)
(22,"P4_0",48)
(22,"P5_0",49)
(23,"P3_2",48)
(24,"P3_2",49)
(25,"P0_TAIL",10)
(25,"P4_2",50)
(26,"P4_2",51)
(27,"P4_2",52)
(28,"P4_2",53)
(29,"P0_0",50)
(29,"P1_0",51)
(29,"P2_0",52)
(29,"P3_0",53)
(29,"P4_3",54)
(29,"P5_0",55)
(30,"P4_2",55)
(31,"P0_TAIL",11)
(31,"P5_2",56)
(32,"P5_2",57)
(33,"P5_2",58)
(34,"P5_2",59)
(35,"P5_2",60)
(36,"P0_0",56)
(36,"P1_0",57)
(36,"P2_0",58)
(36,"P3_0",59)
(36,"P4_0",60)
(36,"P5_3",61)
(37,"P0_TAIL",13)
(37,"P1_3",62)
(38,"P1_TAIL",0)
(38,"P0_0",62)
(38,"P2_0",63)
(38,"P3_0",64)
(38,"P4_0",65)
(38,"P5_0",66)
(39,"P1_3",63)
(39,"P2_1",67)
(40,"P1_3",64)
(40,"P3_1",68)
(41,"P1_3",65)
(41,"P4_1",69)
(42,"P1_3",66)
(42,"P5_1",70)
(43,"P2_TAIL",71)
(44,"P0_TAIL",22)
(44,"P3_3",72)
(45,"P1_1",73)
(45,"P3_3",74)
(46,"P2_1",75)
(46,"P3_3",76)
(47,"P3_TAIL",0)
(47,"P0_0",72)
(47,"P1_0",74)
(47,"P2_0",76)
(47,"P4_0",77)
(47,"P5_0",78)
(48,"P3_3",77)
(48,"P4_1",79)
(49,"P3_3",78)
(49,"P5_1",80)
(50,"P0_TAIL",29)
(50,"P4_3",81)
(51,"P1_1",82)
(51,"P4_3",83)
(52,"P2_1",84)
(52,"P4_3",85)
(53,"P3_1",86)
(53,"P4_3",87)
(54,"P4_TAIL",0)
(54,"P0_0",81)
(54,"P1_0",83)
